feature,importance
cat__Contract_Month-to-month,0.6534376742211169
num__tenure,0.11389471202696647
cat__InternetService_Fiber optic,0.10882131899750598
num__MonthlyCharges,0.038365368329463
cat__OnlineSecurity_No,0.019917345904852127
cat__StreamingMovies_No internet service,0.017696648045097102
cat__TechSupport_No,0.01585024057306497
cat__PaymentMethod_Electronic check,0.015368777848497451
cat__Contract_One year,0.006365384374778588
num__TotalCharges,0.005830667012292136
cat__Dependents_No,0.004451862666365421
num__NumServices,0.0
cat__Dependents_Yes,0.0
cat__PhoneService_No,0.0
cat__SeniorCitizen_0,0.0
cat__gender_Female,0.0
cat__SeniorCitizen_1,0.0
cat__Partner_No,0.0
cat__Partner_Yes,0.0
cat__gender_Male,0.0
cat__InternetService_No,0.0
cat__InternetService_DSL,0.0
cat__MultipleLines_Yes,0.0
cat__MultipleLines_No phone service,0.0
cat__PhoneService_Yes,0.0
cat__MultipleLines_No,0.0
cat__OnlineSecurity_Yes,0.0
cat__OnlineSecurity_No internet service,0.0
cat__DeviceProtection_No internet service,0.0
cat__DeviceProtection_Yes,0.0
cat__TechSupport_No internet service,0.0
cat__TechSupport_Yes,0.0
cat__OnlineBackup_No internet service,0.0
cat__OnlineBackup_Yes,0.0
cat__DeviceProtection_No,0.0
cat__OnlineBackup_No,0.0
cat__StreamingMovies_No,0.0
cat__StreamingTV_Yes,0.0
cat__StreamingTV_No internet service,0.0
cat__StreamingTV_No,0.0
cat__Contract_Two year,0.0
cat__PaperlessBilling_No,0.0
cat__PaperlessBilling_Yes,0.0
cat__StreamingMovies_Yes,0.0
cat__PaymentMethod_Bank transfer (automatic),0.0
cat__PaymentMethod_Credit card (automatic),0.0
cat__PaymentMethod_Mailed check,0.0
cat__TenureGroup_0-12,0.0
cat__TenureGroup_13-24,0.0
cat__TenureGroup_25-48,0.0
cat__TenureGroup_49-60,0.0
cat__TenureGroup_61+,0.0
